,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY_RRF,Go To CY_RRF,Cyprus Resilience and Rerovery Fund,http://www.cyprus-tomorrow.gov.cy/,Cyprus,0,Cyprus,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,Mainly 100%,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The key strategic goal of the Cyprus RRP is about strengthening the economy’s resilience and the country’s potential for economically, socially and environmentally sustainable long-term growth and welfare.","Public health, civil protection and lessons learned from the pandemic","General Directorate of Development, Ministry of Finance",,1,"Public health, civil protection and lessons learned from the pandemic",0,http://www.cyprus-tomorrow.gov.cy/cypresidency/kyprostoavrio.nsf/axis01a_el/axis01a_el?OpenDocument,0,Resilient and effective health system and strengthened civil protection,http://www.cyprus-tomorrow.gov.cy/cypresidency/kyprostoavrio.nsf/All/B6E643D9AF919A4AC22586D2002A42A2?OpenDocument,0,0,0,0,0,0,0,0,,https://www.fundingprogrammesportal.gov.cy/en/program-major-category/cy-cyprus-recovery-and-resilience-plan/,https://www.fundingprogrammesportal.gov.cy/en/contact-us/ ,0,0,0,0,0,0
CY_CAP,Go To CY_CAP,Strategic Plan of the Common Agricultural Policy 2023-2027 of Cyprus,http://www.paa.gov.cy/moa/paa/paa.nsf/All/C4DA9AB0A2AD27B9C225857B00364F81,Cyprus,0,Cyprus,0,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,"Subsidies are paid directly to farmers (direct payments) while in the case of rural development funding, this is provided in the form mainly of grants",YES,YES,YES,YES,YES,40-100%,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Cypriot CAP Plan aims to respond to the concerns of producers and consumers, to attract younger generations, maintain social cohesion and promote a sustainable rural development. In parallel, it intends to protect the environment in which farmers operate. The Plan will work with a view to shift towards a new agricultural model, which respects the use of natural resources and commits to preserving and improving them.",Promotion of resilient agricultural sector,"Ministry of Agriculture, Rural Development and the Environment",,Answers,1,Direct aid measure,0,0,0,0,0,0,0,0,0,0,0,0,,Answers,https://www.fundingprogrammesportal.gov.cy/en/programs/agriculture-development/,https://www.fundingprogrammesportal.gov.cy/en/contact-us/ ,0,0,0,0,0
CY_R&I,Go To CY_R&I,"Research and Innovation Programme ""RESTART 2016-2020""",https://www.research.org.cy/en/rifs-ri-programmes/restart-2016-2020/,Cyprus,0,Cyprus,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,Mainly 100%,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The vision of the RESTART 2016-2020 Programmes is to enhance but also highlight the role of the RTDI sector as a key factor in the economic development of Cyprus, contributing to addressing the key economic and social challenges in a way that will bring about the necessary conditions for achieving sustainable development. To this end, the vision is in line with the principles outlined in the “Europe 2020” strategic framework for smart, sustainable and inclusive growth.The structure of the RESTART 2016-2020 Programmes is based on the objectives, as well as the Priority Areas presented in the Smart Specialisation Strategy for Cyprus, S3Cy. At the same time, it is part of the Operational Programme “Competitiveness and Sustainable Development 2014-2020”, the development strategy of Cyprus for the use of the European Regional Development Fund (ERDF) resources under Priority Axis 1 “Enhancing the Competitiveness of the Economy”.
The main objectives of the Programme are reflected in the three key Strategic Pillars: i) Intelligent growth, with emphasis on the selected priority areas, ii) Ensuring sustainability and bringing out the potential of the RTDI system whilst enhancing its future prospects, iii) Supporting the RTDΙ system operating framework and adding value to research and innovation activities by developing supporting tools and pilot measures.
",Technological priority areas,Research and Innovation Foundation,,Answers,1,Technological priority areas,0,0,0,Digital Technologies,0,Advanced materials,0,0,0,0,0,0,,Answers,"https://iris.research.org.cy/#!/calls
https://www.fundingprogrammesportal.gov.cy/en/programs/research-and-innovation-programme/
https://www.fundingprogrammesportal.gov.cy/en/programs/research-and-innovation-foundation-programmes/",0,0,0,https://www.research.org.cy/wp-content/uploads/RESTART-2016-2020-Work-Programme-v14_May-22-March-23-final_en-doc.pdf,0,0
CY_ETC,Go To CY_ETC,European Territorial Cooperation Programmes (ETC) 2021-2027 - Cyprus,https://eufunds.com.cy/en/european-territorial-cooperation-programmes-etc/,EU-27,"Norway, Switzerland, Tunisia, Turkey, Algeria, Israel, Lebanon, Malta, Jordan, Palestine",Cyprus,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,70%-90%,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Interreg Europe programme designed to support interregional learning among policy relevant organisations across Europe.
The programme’s objective is to enable public authorities and other relevant organisations to actively learn from the experience of other regions. ",0,"Directorate General Growth, Ministry of Finance",,Answers,1,Cross-Border Cooperation Greece-Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,,Answers,"https://www.fundingprogrammesportal.gov.cy/en/programs/interreg-europe-european-regional-development-fund/
https://www.fundingprogrammesportal.gov.cy/en/programs/interreg-euro-med-european-regional-development-fund/
https://eufunds.com.cy/en/european-territorial-cooperation-programmes-etc/",0,0,0,0,0,0
IE Climate Action Fund,Go To IE Climate Action Fund,Climate Action Fund,https://www.gov.ie/en/publication/de5d3-climate-action-fund/,Ireland,0,All,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO, ,YES,YES,YES,YES,YES,type of funding and funding rate varies,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Climate Action Fund (CAF) was established to provide assistance and financial support to projects which will help Ireland achieve its climate and energy targets. The CAF will provide at least €500 million in government funding up to 2027 towards this aim. The Fund will allow for the development of innovative initiatives which, without this support, may not otherwise be possible to accomplish. The Department of the Environment, Climate and Communications (DECC) is responsible for the Fund's implementation. The CAF will have a number of calls for applications. The scope and scale of projects that will be supported by the various calls may need to vary to ensure the full objectives of the CAF are realised. This may include calls focusing on specific sectors (such as electricity, transport, heat or agriculture) or specific areas (such as capacity building, innovation or community participation).","The calls have been very varied such as # Community Climate Action Programme (Strand 1 - Action: Building Low Carbon Communities. Strand 2 - Education: Climate Education, Capacity Building and Learning by Doing. Open Call for Education, Capacity Building and Learning by Doing Projects) #Creative Climate Action. ",Department of Environment Climate and Communications,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, https://www.gov.ie/en/publication/de5d3-climate-action-fund/,0,0,0,0,0,0,0
IE Major Flood Relief Schemes,Go To IE Major Flood Relief Schemes,Major Flood Relief Schemes,https://www.gov.ie/en/policy-information/5b609-major-flood-relief-schemes/,Ireland,0,All Local Authorities,0,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO, ,NO,NO,NO,YES,YES,100,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Government has committed €1.3 billion to the delivery of flood relief schemes over the lifetime of the National Development Plan to 2030 to protect approximately 23,000 properties in threatened communities from river and coastal flood risk. The procurement of all services and works associated with delivering flood relief schemes must be carried out in line with public procurement principles, set out in the Capital Works Management Framework, the Public Spending Code, and relevant statutes. Outside of that model, a number of flood relief schemes are delivered by a Directly Managed Scheme model, that uses a combination of OPW’s own construction crews, contracted labour and discrete sub-contracted packages.","Flood Risk Management. See list of schemes at link (ongoing, completed and future). https://www.floodinfo.ie/scheme-info/ ",The Office of Public Works (OPW),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"While not a specific call this link provides details of schemes (completed, ongoing and future)  https://www.floodinfo.ie/scheme-info/",0,0,0,0,0,0,0
IE Minor Flood & Coastal Pro,Go To IE Minor Flood & Coastal Pro,Minor Works - Minor Flood Mitigation Works and Coastal Protection Scheme,https://www.gov.ie/en/collection/242647-minor-flood-mitigation-works-and-coastal-protection-scheme-explanato/,Ireland,0,All,0,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO, ,YES,YES,YES,NO,NO,"Up to 90% of the cost is available for approved projects. Supports projects that are estimated to cost not more than €750,000.",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,The Minor Flood Mitigation Works and Coastal Protection Scheme was introduced by the Office of Public Works in 2009. The purpose of the scheme is to provide funding to Local Authorities to undertake minor flood mitigation works or studies to address localised flooding and coastal protection problems within their administrative areas. The scheme generally applies where a solution can be readily identified and achieved in a short time frame.,"Coastal and Non-coastal Flooding, Coastal Erosion. See link for approved projects. https://www.floodinfo.ie/minor-works/",Office of Public Works (OPW),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Application forms at link and no closing date https://www.gov.ie/en/collection/242647-minor-flood-mitigation-works-and-coastal-protection-scheme-explanato/,0,0,0,0,0,0,0
IE Nature Based Solutions,Go To IE Nature Based Solutions,Nature-based Solutions for Catchment Management,https://www.gov.ie/en/policy-information/ed877-nature-based-solutions-for-catchment-management/,Ireland,0,No obvious exclusions so Ireland.,0,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO, ,YES,NO,NO,NO,NO,50-100,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Although not a published programme, there has been some research into Nature Based Solutions for Catchment Management. NbS-CM have not been widely implemented to date in Ireland, but the OPW is active in pursuing this approach for future application. Current work in this area includes:
• The OPW is co-funding the SLOWATERS research project to examine the effectiveness of soft engineering measures in agricultural lands.
• The OPW has provided funding to the Inishowen Rivers Trust in Donegal to investigate the use of such measures to reduce flood risk and provide co-benefits.",Catchment Areas,The Office of Public Works (OPW) has funded or co-funded some projects with the Environmental Protection Agency (EPA) ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, https://www.gov.ie/en/policy-information/ed877-nature-based-solutions-for-catchment-management/,0,0,0,0,0,0,0
IE EPA Research,Go To IE EPA Research,EPA Research Calls,https://www.epa.ie/our-services/research/,Ireland,0,All,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO, ,YES,YES,YES,NO,NO,yp to 100,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"This is an annual research call, which targets research areas and actions. In 2023 the 5 themes of the call were: #Addressing the Societal Dimension of Environmental Challenges
#Harnessing Data and Digitalisation for the Environment
#Nature Based Solutions: Delivering Co-benefits for the Environment and Society
#Advancing Climate Science for Ireland
#Climate Adaptation: Planning for an uncertain future   ",0,Environmental Protection Agency,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, https://www.epa.ie/our-services/research/epa--research-funding/epa-research-call-2023/,0,0,0,0,0,0,0
SE LOVA,Go To SE LOVA,LOVA ,"LOVA - Anslag, bidrag och utlysningar - Havs- och vattenmyndigheten (havochvatten.se)",Sweden,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,80-90%,NOT SPECIFIED,0,YES,NO,0,LOW,Either or,,"The aim of the funding is to support local actions that protect, restore, and ensure sustainable use of freshwater resources and seas",0,Swedish Agency for Marine and Water Management (Havs och vatten myndigheten),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,The individual calls are found on the homepage of each County Administrative Board (Länsstyrelsen),0,0,0,0,0,0,0
SE LONA,Go To SE LONA,LONA,LONA – Lokala naturvårdssatsningen (naturvardsverket.se),Sweden,0,All regions,0,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,50-90%,NO,0,YES,NO,0,LOW,Either or,,The aim of the funding is to protect nature and promote human-nature interactions,0,Swedish Environmental Protection Agency (Naturvårdsverket),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Logga in (naturvardsverket.se),0,0,0,Vägledning om statliga bidrag till lokala naturvårdsprojekt (naturvardsverket.se),PDF explaining the requirements for applying,0,0
SE Sanering,Go To SE Sanering,Sanering av förorenade områden,https://www.naturvardsverket.se/bidrag/statlig-finansiering-av-fororenade-omraden/,Sweden,0,All regions,0,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,Up to 100%,YES,0,YES,NO,0,MEDIUM,Either or,,To provide funding for municipalities and property owners working to clean up contaminated sites,0,Swedish Environmental Protection Agency (Naturvårdsverket),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.naturvardsverket.se/bidrag/statlig-finansiering-av-fororenade-omraden/,0,0,0,https://www.naturvardsverket.se/493c5d/globalassets/amnen/fororenade-omraden/bidrag/kvalitetsmanual-utgava-16.pdf,Guidance on how to apply,https://www.ebhportalen.se/overgripande-strategiskt/vagledning-om-statsstod-och-statsbidrag/allt-vagledningsmaterial/,Guidance on applying for state aid or grants in general
SE Miljöforskning,Go To SE Miljöforskning,Miljöforskningsanslaget,https://www.naturvardsverket.se/om-miljoarbetet/forskning/miljoforskning/,Sweden,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,Up to 100%,YES,0,YES,NO,0,LOW,Either or,,"To provide funding for research related to environmental quality, implementation of climate policies and adaptation, and international negotiations",Environment,Swedish Environmental Protection Agency (Naturvårdsverket),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.naturvardsverket.se/om-miljoarbetet/forskning/miljoforskning/utlysningar/,0,0,0,https://www.naturvardsverket.se/om-miljoarbetet/forskning/miljoforskning/att-soka-forskningsbidrag/,Guidance on how to apply,0,0
SE Statsbidrag för naturolyckor,Go To SE Statsbidrag för naturolyckor,Statsbidrag för naturolyckor,Statsbidrag för naturolyckor (msb.se),Sweden,0,All regions,0,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,0.6,NOT SPECIFIED,0,YES,NO,0,MEDIUM,Either or,,"The objective is to increase resilience to natural disasters, specifically erosion, flooding, and landslides ",0,Swedish Civil Contingencies Agency (Myndigheten för samhällsskydd och beredskap),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB:s e-tjänsteportal,0,0,0,vagledning-statsbidrag-till-forebyggande-atgarder-mot-naturolyckor---regler-och-riktlinjer-for-ansokan---inklusive-bildtext_2023-05-30.pdf (msb.se),PDF explaining the requirements and steps for applying ,0,0
SE Formas,Go To SE Formas,Formas,Söka finansiering - Formas,Sweden,0,All regions,0,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,Depends on the purpose of the funding and the size of the beneficiary. Can be up to 100%,YES,up to 30% of eligible staff costs,YES,NO,0,MEDIUM,Either or,,"Formas provides financing for research, innovation, and the development of strategies that promote the achievement of Sweden's environmental goals  ",0,Swedish research council for sustainable development Formas,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Planerade utlysningar 2023 - Formas,0,0,0,0,0,0,0
SE Vinnova,Go To SE Vinnova,Vinnova funding,Sök finansiering från Vinnova | Vinnova,Sweden,0,All regions,0,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,Depends on the purpose of the funding and the size of the beneficiary. Can be up to 100%,YES,for the duration of and to the extent that they are utilised in the project,YES,NO,0,MEDIUM,Either or,,Vinnova funds research and innovation projects that can benefit society.,0,"Vinnova, Swedish innovation authority",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Hitta rätt erbjudande om finansiering | Sök bland Vinnovas erbjudanden | Vinnova,0,0,0,https://www.vinnova.se/globalassets/huvudsajt/sok-finansiering/regler-och-villkor/dokument/svenska/allmanna-villkor-2023-en-projektpart.pdf,PDF explaining the requirements for applying ,Microsoft Word - guide stödberättigande kostnader -1 januari 2019.docx uppdatering inför 2020 200206 (002) (vinnova.se),PDF explaining eligible costs
SE Energimyndigheten,Go To SE Energimyndigheten,Energimyndighetens finansiering,Så söker du stöd och redovisar (energimyndigheten.se),Sweden,0,All regions,0,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,Depends on the purpose of the funding and the size of the beneficiary. Can be up to 100%,YES,"for nonprofit organisations only, up to 30%",YES,NO,0,MEDIUM,Either or,,"The innovation fund provides financial support for research, innovation, business development and global dissemination of new solutions that contribute to the fulfillment of the energy and climate policy objectives",0,Swedish Energy Agency (Energimyndigheten),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kommande utlysningar (energimyndigheten.se),0,0,0,allmanna-villkor-for-stod.pdf (energimyndigheten.se),PDF explaining the requirements for applying ,Manual för forsknings-ansökningar via Mina sidor (energimyndigheten.se),Manual explaining the application process
